"question","categorie","difficulte","option_a","option_b","option_c","option_d","option_e","correct_option"
"Quelle est la principale bibliothèque pour la manipulation de données en Python ?","analyse des données multivariée","facile","Pandas","Matplotlib","Scikit-learn","Seaborn","TensorFlow","A"
"Quel algorithme est couramment utilisé pour la classification supervisée ?","machine learning","intermédiaire","K-Means","Linear Regression","Random Forest","PCA","Apriori","C"
"Que signifie l’acronyme EDA ?","analyse des données multivariée","facile","Exploratory Data Analysis","Estimated Data Array","Exploration des données","External Data Access","Extended Data Architecture","A;C"
"Laquelle de ces méthodes est une technique de réduction de dimension ?","analyse des données multivariée","intermédiaire","Linear Regression","Logistic Regression","PCA","K-Nearest Neighbors","Decision Tree","C"
"Quel outil est couramment utilisé pour l’entraînement de réseaux de neurones ?","machine learning","intermédiaire","Pandas","TensorFlow","Requests","BeautifulSoup","NumPy","B"
"À quoi sert un embedding de mots ?","LLM","intermédiaire","Représenter des mots en vecteurs numériques","Dessiner des graphiques en 3D","Compresser des images","Chiffrer des données","Nettoyer des doublons","A"
"Quelle méthode est principalement utilisée pour projeter des embeddings en 2D pour la visualisation ?","NLP","intermédiaire","One Hot Encoding","t-SNE","MinMax Scaling","Bagging","Naive Bayes","B"
"Quel est l'objectif principal de la tokenisation en NLP ?","NLP","facile","Calculer la variance d'un dataset","Découper un texte en unités exploitables","Traduire automatiquement un texte","Mesurer la latence d'une API","Générer un graphique","B"
"Que signifie le POS tagging en traitement du langage ?","NLP","facile","Prediction of Sequences","Part of Speech tagging","Probability of Sampling","Point of Similarity","Parsing of Sentences","B"
"Dans un système NER, quelle entité pourrait être détectée ?","NLP","intermédiaire","Valeur manquante","Nombre de clusters","Personne","Coefficient de corrélation","Matrice de confusion","C"
"Quelle métrique est fréquemment utilisée pour évaluer un modèle de classification binaire ?","machine learning","intermédiaire","RMSE","Accuracy","MAE","R2","Silhouette Score","B"
"Quel modèle de langage est de type encodeur bidirectionnel ?","LLM","intermédiaire","GPT","LSTM classique","ARIMA","BERT","KNN","D"
"Quel format de données est le plus courant pour stocker des textes annotés en NER ?","NLP","facile","PNG","CSV","XLSX","ZIP","JSONL","E"
"Quel prétraitement est souvent utile avant un modèle NLP classique ?","NLP","intermédiaire","Normalisation de la casse et suppression de la ponctuation","Augmentation de la résolution d'image","Tri aléatoire des colonnes","Compilation en bytecode","Lemmatisation","A;E"
"Quelle technique permet de représenter un document entier à partir des fréquences de termes ?","NLP","intermédiaire","TF-IDF","Dropout","Batch Normalization","Early Stopping","Backpropagation","A"
"À quoi servent les embeddings ?","LLM","intermédiaire","Représenter des éléments en vecteurs dans un espace continu","Compresser des vidéos automatiquement","Supprimer le bruit d'un signal audio","Détecter uniquement des fautes d'orthographe","Mesurer la similarité sémantique entre éléments","A;E"
"Quelle est l'utilité d'une matrice d'attention ?","LLM","intermédiaire","Visualiser uniquement la perte d'entraînement","Pondérer l'importance relative des tokens entre eux","Remplacer la tokenisation dans tous les cas","Convertir un texte en image","Normaliser des données tabulaires","B"
"Que représente l’accuracy ?","statistiques","intermédiaire","Le taux global de bonnes prédictions","La proportion de vrais positifs parmi les positifs prédits","La proportion de vrais positifs parmi les positifs réels","L’erreur moyenne absolue","La variance résiduelle","A"
"Que représente le recall ?","statistiques","intermédiaire","Le taux global de bonnes prédictions","La proportion de vrais négatifs","La proportion de vrais positifs parmi les positifs réels","Le nombre total de faux positifs","Le score de silhouette","C"
"Quelle méthode multivariée permet d'analyser un ensemble de variables qualitatives ?","analyse des données multivariée","intermédiaire","ACP","ACM","Régression linéaire","ANOVA","K-means","B"
"Quelle est la différence entre une régression logistique et une régression linéaire ?","économétrie","intermédiaire","La logistique prédit des probabilités de classe et la linéaire une valeur continue","La logistique ne fonctionne qu’avec des images","La linéaire est toujours non supervisée","La linéaire utilise uniquement des variables qualitatives","Il n’y a aucune différence","A"
"Qu’est-ce qu’un Random Forest ?","machine learning","facile","Un algorithme de clustering basé sur un seul centroïde","Un ensemble d’arbres de décision combiné par agrégation","Une méthode de réduction de dimension linéaire","Un réseau de neurones récurrent","Un test statistique d’indépendance","B"
"Que signifie l’alpha de Cronbach ?","statistiques","facile","Un indice de fiabilité interne d’une échelle de mesure","Le taux de précision d’un classifieur","La p-valeur d’un test t","L’erreur quadratique moyenne","Le nombre idéal de variables explicatives","A"
"Que mesure l’écart-type ?","statistiques","intermédiaire","La dispersion des valeurs autour de la moyenne","Le nombre total d’observations","La médiane de la distribution","La pente d’une régression","Le coefficient de corrélation","A"
"Quelle affirmation décrit correctement un intervalle de confiance à 95% ?","statistiques","intermédiaire","95% des données sont dans l’intervalle","La probabilité que la moyenne soit exacte vaut 95%","Sur répétition de l’échantillonnage 95% des intervalles contiennent le vrai paramètre","La variance est égale à 95%","L’intervalle exclut toujours les valeurs extrêmes","C"
"Que représente une p-valeur dans un test statistique ?","statistiques","intermédiaire","La probabilité que l’hypothèse alternative soit vraie","La probabilité d’observer des données au moins aussi extrêmes si H0 est vraie","La proportion de données manquantes","L’effet causal moyen","Le niveau de confiance","B"
